Package,LibPath,Version,Priority,Built
modeltools,C:/Program Files/R/R-3.4.0/library,0.2-21,NA,3.4.0
munsell,C:/Program Files/R/R-3.4.0/library,0.4.3,NA,3.4.0
mvtnorm,C:/Program Files/R/R-3.4.0/library,1.0-6,NA,3.4.0
nlme,C:/Program Files/R/R-3.4.0/library,3.1-131,recommended,3.4.0
nnet,C:/Program Files/R/R-3.4.0/library,7.3-12,recommended,3.4.0
noncensus,C:/Program Files/R/R-3.4.0/library,0.1,NA,3.4.0
odbc,C:/Program Files/R/R-3.4.0/library,1.1.3,NA,3.4.2
openssl,C:/Program Files/R/R-3.4.0/library,0.9.6,NA,3.4.0
packrat,C:/Program Files/R/R-3.4.0/library,0.4.8-1,NA,3.4.0
parallel,C:/Program Files/R/R-3.4.0/library,3.4.0,base,3.4.0
pkgconfig,C:/Program Files/R/R-3.4.0/library,2.0.1,NA,3.4.2
PKI,C:/Program Files/R/R-3.4.0/library,0.1-3,NA,3.4.0
plogr,C:/Program Files/R/R-3.4.0/library,0.1-1,NA,3.4.2
plotly,C:/Program Files/R/R-3.4.0/library,4.6.0,NA,3.4.0
plyr,C:/Program Files/R/R-3.4.0/library,1.8.4,NA,3.4.0
png,C:/Program Files/R/R-3.4.0/library,0.1-7,NA,3.4.0
prabclus,C:/Program Files/R/R-3.4.0/library,2.2-6,NA,3.4.0
proto,C:/Program Files/R/R-3.4.0/library,1.0.0,NA,3.4.0
protolite,C:/Program Files/R/R-3.4.0/library,1.6,NA,3.4.1
psych,C:/Program Files/R/R-3.4.0/library,1.7.3.21,NA,3.4.0
purrr,C:/Program Files/R/R-3.4.0/library,0.2.2,NA,3.4.0
pwr,C:/Program Files/R/R-3.4.0/library,1.2-1,NA,3.4.1
quadprog,C:/Program Files/R/R-3.4.0/library,1.5-5,NA,3.4.1
R.methodsS3,C:/Program Files/R/R-3.4.0/library,1.7.1,NA,3.4.0
R.oo,C:/Program Files/R/R-3.4.0/library,1.21.0,NA,3.4.0
R.utils,C:/Program Files/R/R-3.4.0/library,2.5.0,NA,3.4.1
R6,C:/Program Files/R/R-3.4.0/library,2.2.0,NA,3.4.0
rappdirs,C:/Program Files/R/R-3.4.0/library,0.3.1,NA,3.4.0
raster,C:/Program Files/R/R-3.4.0/library,2.5-8,NA,3.4.1
RColorBrewer,C:/Program Files/R/R-3.4.0/library,1.1-2,NA,3.4.0
Rcpp,C:/Program Files/R/R-3.4.0/library,0.12.13,NA,3.4.2
RCurl,C:/Program Files/R/R-3.4.0/library,1.95-4.8,NA,3.4.1
RDSTK,C:/Program Files/R/R-3.4.0/library,1.1,NA,3.4.1
readr,C:/Program Files/R/R-3.4.0/library,1.1.1,NA,3.4.1
readxl,C:/Program Files/R/R-3.4.0/library,1.0.0,NA,3.4.0
rematch,C:/Program Files/R/R-3.4.0/library,1.0.1,NA,3.4.0
rematch2,C:/Program Files/R/R-3.4.0/library,2.0.1,NA,3.4.3
reshape2,C:/Program Files/R/R-3.4.0/library,1.4.2,NA,3.4.0
rgdal,C:/Program Files/R/R-3.4.0/library,1.2-8,NA,3.4.1
rgeos,C:/Program Files/R/R-3.4.0/library,0.3-23,NA,3.4.0
RgoogleMaps,C:/Program Files/R/R-3.4.0/library,1.4.1,NA,3.4.0
rjson,C:/Program Files/R/R-3.4.0/library,0.2.15,NA,3.4.0
RJSONIO,C:/Program Files/R/R-3.4.0/library,1.3-0,NA,3.4.0
rlang,C:/Program Files/R/R-3.4.0/library,0.1.2,NA,3.4.1
rmapshaper,C:/Program Files/R/R-3.4.0/library,0.2.0,NA,3.4.1
rmarkdown,C:/Program Files/R/R-3.4.0/library,1.6,NA,3.4.0
robustbase,C:/Program Files/R/R-3.4.0/library,0.92-7,NA,3.4.0
RODBC,C:/Program Files/R/R-3.4.0/library,1.3-15,NA,3.4.0
rpart,C:/Program Files/R/R-3.4.0/library,4.1-11,recommended,3.4.0
rprojroot,C:/Program Files/R/R-3.4.0/library,1.3-2,NA,3.4.3
rsconnect,C:/Program Files/R/R-3.4.0/library,0.8.2,NA,3.4.0
RSocrata,C:/Program Files/R/R-3.4.0/library,1.7.3-2,NA,3.4.1
RSQLite,C:/Program Files/R/R-3.4.0/library,2.0,NA,3.4.1
rstudioapi,C:/Program Files/R/R-3.4.0/library,0.7.0-9000,NA,3.4.0
rvest,C:/Program Files/R/R-3.4.0/library,0.3.2,NA,3.4.0
sas7bdat,C:/Program Files/R/R-3.4.0/library,0.5,NA,3.4.1
scales,C:/Program Files/R/R-3.4.0/library,0.5.0,NA,3.4.1
selectr,C:/Program Files/R/R-3.4.0/library,0.3-1,NA,3.4.0
servr,C:/Program Files/R/R-3.4.0/library,0.6,NA,3.4.0
shiny,C:/Program Files/R/R-3.4.0/library,1.0.2,NA,3.4.0
sourcetools,C:/Program Files/R/R-3.4.0/library,0.1.6,NA,3.4.0
sp,C:/Program Files/R/R-3.4.0/library,1.2-5,NA,3.4.1
sparklyr,C:/Program Files/R/R-3.4.0/library,0.6.3,NA,3.4.2
spatial,C:/Program Files/R/R-3.4.0/library,7.3-11,recommended,3.4.0
spbabel,C:/Program Files/R/R-3.4.0/library,0.4.8,NA,3.4.1
spdplyr,C:/Program Files/R/R-3.4.0/library,0.1.3,NA,3.4.1
splines,C:/Program Files/R/R-3.4.0/library,3.4.0,base,3.4.0
sqldf,C:/Program Files/R/R-3.4.0/library,0.4-11,NA,3.4.3
stats,C:/Program Files/R/R-3.4.0/library,3.4.0,base,3.4.0
stats4,C:/Program Files/R/R-3.4.0/library,3.4.0,base,3.4.0
stringdist,C:/Program Files/R/R-3.4.0/library,0.9.4.6,NA,3.4.1
stringi,C:/Program Files/R/R-3.4.0/library,1.1.5,NA,3.4.0
stringr,C:/Program Files/R/R-3.4.0/library,1.2.0,NA,3.4.0
styler,C:/Program Files/R/R-3.4.0/library,1.0.0,NA,3.4.3
survival,C:/Program Files/R/R-3.4.0/library,2.41-3,recommended,3.4.0
taskscheduleR,C:/Program Files/R/R-3.4.0/library,1.1,NA,3.4.3
